name	start	end	strand	gene_type
NW_020093552.1__IFITM5	9361270	9362049	1	exons
NW_020093552_IFITM1-like	9358343	9359586	1	exons
NW_020093552_IFITM1-like	9300341	9301743	1	exons
NW_020093552_IFITM1-like	9293113	9294269	1	exons
NW_020093552_IFITM1-like	9295817	9297037	1	exons
NW_020093552_IFITM1-like	9320322	9321507	1	exons
NW_020093552_IFITM1-like	9325763	9326816	1	exons
NW_020093552_IFITM1-like	9290545	9291565	1	exons
NW_020093552_IFITM1-like	9303586	9305126	1	exons
NW_020093552_IFITM1-like	9329304	9332368	1	exons
NW_020093552.1__IFITM10	8354539	8365072	1	exons
